Destination,Mood,Temperature (°C),Duration Range (days),Activities,Physicality (1–5),Family Friendly,Budget ($/day),Security (1–5)
Riga Variant 707,Exotic,0–15,10–15,"Spiritual Retreats, Yoga, Wellness",5,Yes,364,3
Riga Variant 707,Calm,0–15,4–7,"Spiritual Retreats, Yoga, Wellness",4,Yes,387,3
Riga Variant 707,Adventurous,0–15,5–10,"Spiritual Retreats, Yoga, Wellness",3,Yes,360,5
Riga Variant 707,Vibrant,0–15,10–15,"Spiritual Retreats, Yoga, Wellness",1,Yes,393,5
Riga Variant 707,Relaxed,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",2,Yes,378,3
Jerusalem Variant 148,Scenic,0–15,10–20,"Beach, Snorkeling, Relaxation",2,Yes,70,3
Jerusalem Variant 148,Calm,0–15,3–5,"Beach, Snorkeling, Relaxation",1,Yes,69,3
Jerusalem Variant 148,Vibrant,0–15,4–7,"Beach, Snorkeling, Relaxation",2,Yes,76,5
Jerusalem Variant 148,Exotic,0–15,10–15,"Beach, Snorkeling, Relaxation",3,Yes,83,5
Jerusalem Variant 148,Romantic,0–15,10–15,"Beach, Snorkeling, Relaxation",3,Yes,84,3
Jerusalem Variant 148,Adventurous,0–15,7–14,"Beach, Snorkeling, Relaxation",4,Yes,57,4
Patagonia Variant 351,Calm,0–15,5–10,"Hiking, Nature, Wildlife",1,Yes,420,5
Patagonia Variant 351,Relaxed,0–15,10–15,"Hiking, Nature, Wildlife",1,Yes,387,3
Patagonia Variant 351,Calm,0–15,7–14,"Hiking, Nature, Wildlife",2,Yes,373,5
Patagonia Variant 351,Vibrant,0–15,5–10,"Hiking, Nature, Wildlife",4,Yes,416,4
Patagonia Variant 351,Exotic,0–15,5–10,"Hiking, Nature, Wildlife",5,Yes,433,3
Patagonia Variant 351,Exotic,0–15,5–10,"Hiking, Nature, Wildlife",5,Yes,361,4
Banff Variant 237,Diverse,-10–5,3–7,"Spiritual Retreats, Yoga, Wellness",2,Yes,140,2
Banff Variant 237,Calm,-10–5,5–8,"Spiritual Retreats, Yoga, Wellness",1,Yes,165,5
Banff Variant 237,Exotic,-10–5,10–15,"Spiritual Retreats, Yoga, Wellness",1,Yes,114,3
Banff Variant 237,Romantic,-10–5,5–10,"Spiritual Retreats, Yoga, Wellness",3,Yes,161,5
Banff Variant 237,Relaxed,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",2,Yes,124,3
Banff Variant 237,Energetic,-10–5,4–7,"Spiritual Retreats, Yoga, Wellness",1,Yes,157,3
Vienna Variant 557,Adventurous,10–25,3–7,"Spiritual Retreats, Yoga, Wellness",4,No,70,3
Vienna Variant 557,Exotic,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",4,No,73,4
Vienna Variant 557,Energetic,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",2,No,76,3
Vienna Variant 557,Relaxed,10–25,5–8,"Spiritual Retreats, Yoga, Wellness",5,No,67,4
Vienna Variant 557,Relaxed,10–25,5–8,"Spiritual Retreats, Yoga, Wellness",2,No,73,4
Vienna Variant 557,Romantic,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",1,No,74,4
Queenstown Variant 125,Quiet,25–40,3–7,"Adventure Sports, Trekking, Kayaking",4,Yes,230,2
Queenstown Variant 125,Energetic,25–40,7–14,"Adventure Sports, Trekking, Kayaking",1,Yes,220,5
Queenstown Variant 125,Exotic,25–40,10–15,"Adventure Sports, Trekking, Kayaking",3,Yes,259,3
Queenstown Variant 125,Relaxed,25–40,5–8,"Adventure Sports, Trekking, Kayaking",5,Yes,207,5
Queenstown Variant 125,Relaxed,25–40,5–8,"Adventure Sports, Trekking, Kayaking",4,Yes,239,3
Queenstown Variant 125,Exotic,25–40,10–15,"Adventure Sports, Trekking, Kayaking",3,Yes,245,4
Kotor Variant 685,Quiet,10–25,5–10,"Hiking, Nature, Wildlife",2,No,200,2
Kotor Variant 685,Relaxed,10–25,5–10,"Hiking, Nature, Wildlife",3,No,225,5
Kotor Variant 685,Calm,10–25,4–7,"Hiking, Nature, Wildlife",3,No,163,3
Kotor Variant 685,Romantic,10–25,5–10,"Hiking, Nature, Wildlife",4,No,217,4
Kotor Variant 685,Calm,10–25,5–10,"Hiking, Nature, Wildlife",2,No,162,5
Kotor Variant 685,Romantic,10–25,4–7,"Hiking, Nature, Wildlife",3,No,180,3
Amalfi Coast Variant 967,Peaceful,25–40,2–4,"Hiking, Nature, Wildlife",2,Yes,50,4
Amalfi Coast Variant 967,Calm,25–40,3–5,"Hiking, Nature, Wildlife",2,Yes,51,5
Amalfi Coast Variant 967,Relaxed,25–40,4–7,"Hiking, Nature, Wildlife",3,Yes,54,5
Amalfi Coast Variant 967,Exotic,25–40,5–10,"Hiking, Nature, Wildlife",3,Yes,50,5
Amalfi Coast Variant 967,Adventurous,25–40,7–14,"Hiking, Nature, Wildlife",1,Yes,49,5
Amalfi Coast Variant 967,Exotic,25–40,10–15,"Hiking, Nature, Wildlife",3,Yes,56,4
Sofia Variant 254,Peaceful,25–40,3–7,"Museums, Cafes, Historic Sites",2,No,440,4
Sofia Variant 254,Exotic,25–40,3–5,"Museums, Cafes, Historic Sites",4,No,454,4
Sofia Variant 254,Adventurous,25–40,5–10,"Museums, Cafes, Historic Sites",4,No,381,4
Sofia Variant 254,Energetic,25–40,3–5,"Museums, Cafes, Historic Sites",3,No,526,4
Sofia Variant 254,Vibrant,25–40,7–14,"Museums, Cafes, Historic Sites",2,No,414,5
Sofia Variant 254,Exotic,25–40,5–8,"Museums, Cafes, Historic Sites",2,No,528,5
Santorini Variant 509,Calm,20–35,10–20,"Beach, Snorkeling, Relaxation",1,Yes,380,2
Santorini Variant 509,Adventurous,20–35,10–15,"Beach, Snorkeling, Relaxation",2,Yes,449,3
Santorini Variant 509,Calm,20–35,4–7,"Beach, Snorkeling, Relaxation",4,Yes,447,4
Santorini Variant 509,Exotic,20–35,10–15,"Beach, Snorkeling, Relaxation",2,Yes,305,3
Santorini Variant 509,Exotic,20–35,5–10,"Beach, Snorkeling, Relaxation",2,Yes,370,3
Santorini Variant 509,Romantic,20–35,3–5,"Beach, Snorkeling, Relaxation",4,Yes,379,5
Edinburgh Variant 318,Coastal,10–25,3–7,"Hiking, Nature, Wildlife",3,Yes,320,4
Edinburgh Variant 318,Adventurous,10–25,10–15,"Hiking, Nature, Wildlife",3,Yes,266,5
Edinburgh Variant 318,Relaxed,10–25,4–7,"Hiking, Nature, Wildlife",4,Yes,287,5
Edinburgh Variant 318,Energetic,10–25,4–7,"Hiking, Nature, Wildlife",3,Yes,270,4
Edinburgh Variant 318,Exotic,10–25,10–15,"Hiking, Nature, Wildlife",4,Yes,270,3
Edinburgh Variant 318,Energetic,10–25,7–14,"Hiking, Nature, Wildlife",1,Yes,309,4
Kyoto Variant 4,Wild,0–15,7–14,"Hiking, Nature, Wildlife",3,Yes,410,3
Kyoto Variant 4,Vibrant,0–15,7–14,"Hiking, Nature, Wildlife",4,Yes,463,5
Kyoto Variant 4,Energetic,0–15,3–5,"Hiking, Nature, Wildlife",1,Yes,415,5
Kyoto Variant 4,Exotic,0–15,10–15,"Hiking, Nature, Wildlife",1,Yes,489,5
Kyoto Variant 4,Romantic,0–15,4–7,"Hiking, Nature, Wildlife",4,Yes,461,5
Kyoto Variant 4,Vibrant,0–15,5–8,"Hiking, Nature, Wildlife",4,Yes,331,3
New York City Variant 785,Quiet,20–35,7–14,"Hiking, Nature, Wildlife",4,Yes,500,5
New York City Variant 785,Energetic,20–35,5–8,"Hiking, Nature, Wildlife",5,Yes,587,4
New York City Variant 785,Romantic,20–35,5–10,"Hiking, Nature, Wildlife",2,Yes,571,5
New York City Variant 785,Romantic,20–35,10–15,"Hiking, Nature, Wildlife",4,Yes,519,3
New York City Variant 785,Exotic,20–35,4–7,"Hiking, Nature, Wildlife",2,Yes,491,4
New York City Variant 785,Exotic,20–35,10–15,"Hiking, Nature, Wildlife",3,Yes,480,3
Hanoi Variant 334,Cultural,20–35,2–4,"Museums, Cafes, Historic Sites",3,Yes,370,3
Hanoi Variant 334,Calm,20–35,4–7,"Museums, Cafes, Historic Sites",4,Yes,388,3
Hanoi Variant 334,Energetic,20–35,7–14,"Museums, Cafes, Historic Sites",5,Yes,413,3
Hanoi Variant 334,Relaxed,20–35,5–8,"Museums, Cafes, Historic Sites",5,Yes,383,4
Hanoi Variant 334,Energetic,20–35,3–5,"Museums, Cafes, Historic Sites",4,Yes,444,4
Hanoi Variant 334,Romantic,20–35,5–10,"Museums, Cafes, Historic Sites",3,Yes,341,5
Edinburgh Variant 446,Tranquil,20–35,10–20,"Hiking, Nature, Wildlife",4,Yes,350,3
Edinburgh Variant 446,Adventurous,20–35,7–14,"Hiking, Nature, Wildlife",3,Yes,354,5
Edinburgh Variant 446,Romantic,20–35,3–5,"Hiking, Nature, Wildlife",4,Yes,289,4
Edinburgh Variant 446,Vibrant,20–35,10–15,"Hiking, Nature, Wildlife",5,Yes,290,4
Edinburgh Variant 446,Relaxed,20–35,3–5,"Hiking, Nature, Wildlife",5,Yes,418,4
Edinburgh Variant 446,Romantic,20–35,7–14,"Hiking, Nature, Wildlife",3,Yes,321,3
Santorini Variant 341,Exotic,25–40,5–10,"Hiking, Nature, Wildlife",5,Yes,100,3
Santorini Variant 341,Exotic,25–40,5–10,"Hiking, Nature, Wildlife",3,Yes,110,3
Santorini Variant 341,Adventurous,25–40,7–14,"Hiking, Nature, Wildlife",3,Yes,86,4
Santorini Variant 341,Adventurous,25–40,5–8,"Hiking, Nature, Wildlife",2,Yes,117,3
Santorini Variant 341,Romantic,25–40,7–14,"Hiking, Nature, Wildlife",5,Yes,93,3
Santorini Variant 341,Calm,25–40,10–15,"Hiking, Nature, Wildlife",1,Yes,92,3
Phuket Variant 445,Sunny,25–40,2–4,"Spiritual Retreats, Yoga, Wellness",3,Yes,260,3
Phuket Variant 445,Vibrant,25–40,5–8,"Spiritual Retreats, Yoga, Wellness",3,Yes,210,4
Phuket Variant 445,Exotic,25–40,10–15,"Spiritual Retreats, Yoga, Wellness",1,Yes,214,5
Phuket Variant 445,Calm,25–40,10–15,"Spiritual Retreats, Yoga, Wellness",2,Yes,242,4
Phuket Variant 445,Exotic,25–40,5–10,"Spiritual Retreats, Yoga, Wellness",3,Yes,304,5
Phuket Variant 445,Relaxed,25–40,5–8,"Spiritual Retreats, Yoga, Wellness",3,Yes,297,5
Cairo Variant 413,Luxury,10–25,7–14,"Beach, Snorkeling, Relaxation",2,Yes,240,2
Cairo Variant 413,Romantic,10–25,3–5,"Beach, Snorkeling, Relaxation",1,Yes,271,3
Cairo Variant 413,Exotic,10–25,3–5,"Beach, Snorkeling, Relaxation",3,Yes,258,4
Cairo Variant 413,Calm,10–25,10–15,"Beach, Snorkeling, Relaxation",5,Yes,228,4
Cairo Variant 413,Relaxed,10–25,5–10,"Beach, Snorkeling, Relaxation",1,Yes,226,4
Cairo Variant 413,Adventurous,10–25,10–15,"Beach, Snorkeling, Relaxation",4,Yes,278,3
Prague Variant 672,Exotic,25–40,5–10,"Adventure Sports, Trekking, Kayaking",3,No,210,2
Prague Variant 672,Calm,25–40,4–7,"Adventure Sports, Trekking, Kayaking",5,No,244,5
Prague Variant 672,Calm,25–40,5–8,"Adventure Sports, Trekking, Kayaking",1,No,213,5
Prague Variant 672,Vibrant,25–40,7–14,"Adventure Sports, Trekking, Kayaking",4,No,235,5
Prague Variant 672,Adventurous,25–40,5–10,"Adventure Sports, Trekking, Kayaking",2,No,228,3
Prague Variant 672,Calm,25–40,10–15,"Adventure Sports, Trekking, Kayaking",2,No,205,4
Mexico City Variant 314,Elegant,-10–5,2–4,"Adventure Sports, Trekking, Kayaking",5,Yes,90,3
Mexico City Variant 314,Calm,-10–5,7–14,"Adventure Sports, Trekking, Kayaking",4,Yes,98,4
Mexico City Variant 314,Adventurous,-10–5,4–7,"Adventure Sports, Trekking, Kayaking",2,Yes,84,5
Mexico City Variant 314,Romantic,-10–5,7–14,"Adventure Sports, Trekking, Kayaking",4,Yes,89,4
Mexico City Variant 314,Adventurous,-10–5,3–5,"Adventure Sports, Trekking, Kayaking",3,Yes,81,5
Mexico City Variant 314,Exotic,-10–5,4–7,"Adventure Sports, Trekking, Kayaking",5,Yes,87,4
Tbilisi Variant 559,Scenic,0–15,3–7,"Hiking, Nature, Wildlife",3,Yes,200,3
Tbilisi Variant 559,Romantic,0–15,7–14,"Hiking, Nature, Wildlife",4,Yes,209,4
Tbilisi Variant 559,Energetic,0–15,5–10,"Hiking, Nature, Wildlife",2,Yes,182,3
Tbilisi Variant 559,Relaxed,0–15,10–15,"Hiking, Nature, Wildlife",2,Yes,210,5
Tbilisi Variant 559,Energetic,0–15,3–5,"Hiking, Nature, Wildlife",4,Yes,198,3
Tbilisi Variant 559,Calm,0–15,3–5,"Hiking, Nature, Wildlife",3,Yes,160,5
Riga Variant 295,Wild,10–25,5–10,"Beach, Snorkeling, Relaxation",1,Yes,330,4
Riga Variant 295,Romantic,10–25,10–15,"Beach, Snorkeling, Relaxation",3,Yes,309,5
Riga Variant 295,Energetic,10–25,4–7,"Beach, Snorkeling, Relaxation",5,Yes,364,5
Riga Variant 295,Exotic,10–25,5–8,"Beach, Snorkeling, Relaxation",1,Yes,311,3
Riga Variant 295,Adventurous,10–25,5–10,"Beach, Snorkeling, Relaxation",5,Yes,341,3
Riga Variant 295,Adventurous,10–25,10–15,"Beach, Snorkeling, Relaxation",2,Yes,363,4
Istanbul Variant 806,Spiritual,20–35,5–10,"Adventure Sports, Trekking, Kayaking",1,Yes,360,2
Istanbul Variant 806,Exotic,20–35,10–15,"Adventure Sports, Trekking, Kayaking",5,Yes,332,3
Istanbul Variant 806,Exotic,20–35,3–5,"Adventure Sports, Trekking, Kayaking",5,Yes,333,4
Istanbul Variant 806,Energetic,20–35,10–15,"Adventure Sports, Trekking, Kayaking",2,Yes,355,3
Istanbul Variant 806,Calm,20–35,5–8,"Adventure Sports, Trekking, Kayaking",4,Yes,387,3
Istanbul Variant 806,Vibrant,20–35,7–14,"Adventure Sports, Trekking, Kayaking",4,Yes,367,5
New York City Variant 341,Relaxed,-10–5,10–20,"Hiking, Nature, Wildlife",1,No,80,5
New York City Variant 341,Vibrant,-10–5,4–7,"Hiking, Nature, Wildlife",2,No,77,4
New York City Variant 341,Vibrant,-10–5,3–5,"Hiking, Nature, Wildlife",3,No,68,4
New York City Variant 341,Exotic,-10–5,4–7,"Hiking, Nature, Wildlife",5,No,94,4
New York City Variant 341,Adventurous,-10–5,3–5,"Hiking, Nature, Wildlife",5,No,78,3
New York City Variant 341,Calm,-10–5,5–10,"Hiking, Nature, Wildlife",4,No,79,3
Marrakech Variant 195,Exotic,25–40,5–10,"Spiritual Retreats, Yoga, Wellness",4,Yes,320,5
Marrakech Variant 195,Relaxed,25–40,10–15,"Spiritual Retreats, Yoga, Wellness",5,Yes,318,5
Marrakech Variant 195,Romantic,25–40,5–10,"Spiritual Retreats, Yoga, Wellness",2,Yes,297,4
Marrakech Variant 195,Romantic,25–40,4–7,"Spiritual Retreats, Yoga, Wellness",2,Yes,327,5
Marrakech Variant 195,Romantic,25–40,10–15,"Spiritual Retreats, Yoga, Wellness",5,Yes,315,5
Marrakech Variant 195,Calm,25–40,10–15,"Spiritual Retreats, Yoga, Wellness",3,Yes,344,3
Vienna Variant 548,Peaceful,20–35,10–20,"Adventure Sports, Trekking, Kayaking",5,Yes,360,4
Vienna Variant 548,Romantic,20–35,5–10,"Adventure Sports, Trekking, Kayaking",2,Yes,407,4
Vienna Variant 548,Relaxed,20–35,5–10,"Adventure Sports, Trekking, Kayaking",5,Yes,368,5
Vienna Variant 548,Exotic,20–35,5–8,"Adventure Sports, Trekking, Kayaking",2,Yes,399,4
Vienna Variant 548,Adventurous,20–35,5–10,"Adventure Sports, Trekking, Kayaking",5,Yes,423,3
Vienna Variant 548,Calm,20–35,10–15,"Adventure Sports, Trekking, Kayaking",5,Yes,321,4
Tbilisi Variant 354,Calm,25–40,7–14,"Spiritual Retreats, Yoga, Wellness",2,No,180,5
Tbilisi Variant 354,Adventurous,25–40,3–5,"Spiritual Retreats, Yoga, Wellness",4,No,213,5
Tbilisi Variant 354,Calm,25–40,5–8,"Spiritual Retreats, Yoga, Wellness",5,No,174,5
Tbilisi Variant 354,Energetic,25–40,7–14,"Spiritual Retreats, Yoga, Wellness",5,No,201,5
Tbilisi Variant 354,Adventurous,25–40,10–15,"Spiritual Retreats, Yoga, Wellness",5,No,206,5
Tbilisi Variant 354,Relaxed,25–40,3–5,"Spiritual Retreats, Yoga, Wellness",3,No,158,4
Athens Variant 793,Wild,0–15,10–20,"Museums, Cafes, Historic Sites",2,Yes,160,3
Athens Variant 793,Adventurous,0–15,3–5,"Museums, Cafes, Historic Sites",3,Yes,155,3
Athens Variant 793,Romantic,0–15,3–5,"Museums, Cafes, Historic Sites",5,Yes,185,5
Athens Variant 793,Vibrant,0–15,7–14,"Museums, Cafes, Historic Sites",3,Yes,184,4
Athens Variant 793,Relaxed,0–15,7–14,"Museums, Cafes, Historic Sites",3,Yes,135,4
Athens Variant 793,Vibrant,0–15,3–5,"Museums, Cafes, Historic Sites",3,Yes,167,5
Mexico City Variant 202,Affordable,-10–5,2–4,"Beach, Snorkeling, Relaxation",3,Yes,410,2
Mexico City Variant 202,Adventurous,-10–5,3–5,"Beach, Snorkeling, Relaxation",2,Yes,350,5
Mexico City Variant 202,Calm,-10–5,10–15,"Beach, Snorkeling, Relaxation",4,Yes,465,4
Mexico City Variant 202,Adventurous,-10–5,3–5,"Beach, Snorkeling, Relaxation",4,Yes,343,5
Mexico City Variant 202,Relaxed,-10–5,5–8,"Beach, Snorkeling, Relaxation",2,Yes,473,5
Mexico City Variant 202,Adventurous,-10–5,5–8,"Beach, Snorkeling, Relaxation",1,Yes,345,3
Cape Town Variant 790,Lively,10–25,3–7,"Beach, Snorkeling, Relaxation",5,No,130,3
Cape Town Variant 790,Energetic,10–25,10–15,"Beach, Snorkeling, Relaxation",3,No,153,3
Cape Town Variant 790,Relaxed,10–25,5–10,"Beach, Snorkeling, Relaxation",3,No,145,4
Cape Town Variant 790,Adventurous,10–25,4–7,"Beach, Snorkeling, Relaxation",2,No,144,5
Cape Town Variant 790,Vibrant,10–25,7–14,"Beach, Snorkeling, Relaxation",4,No,147,5
Cape Town Variant 790,Relaxed,10–25,7–14,"Beach, Snorkeling, Relaxation",4,No,117,3
Bali Variant 444,Charming,10–25,7–14,"Beach, Snorkeling, Relaxation",2,No,360,5
Bali Variant 444,Calm,10–25,4–7,"Beach, Snorkeling, Relaxation",2,No,333,5
Bali Variant 444,Vibrant,10–25,5–8,"Beach, Snorkeling, Relaxation",5,No,323,3
Bali Variant 444,Romantic,10–25,4–7,"Beach, Snorkeling, Relaxation",4,No,392,4
Bali Variant 444,Energetic,10–25,7–14,"Beach, Snorkeling, Relaxation",2,No,327,4
Bali Variant 444,Romantic,10–25,5–10,"Beach, Snorkeling, Relaxation",5,No,341,3
Kotor Variant 590,Elegant,20–35,5–10,"Spiritual Retreats, Yoga, Wellness",3,Yes,260,5
Kotor Variant 590,Relaxed,20–35,5–8,"Spiritual Retreats, Yoga, Wellness",3,Yes,285,5
Kotor Variant 590,Energetic,20–35,3–5,"Spiritual Retreats, Yoga, Wellness",3,Yes,218,3
Kotor Variant 590,Relaxed,20–35,4–7,"Spiritual Retreats, Yoga, Wellness",1,Yes,250,5
Kotor Variant 590,Relaxed,20–35,4–7,"Spiritual Retreats, Yoga, Wellness",5,Yes,224,4
Kotor Variant 590,Adventurous,20–35,4–7,"Spiritual Retreats, Yoga, Wellness",4,Yes,221,4
Riga Variant 453,Energetic,25–40,2–4,"Skiing, Snowboarding, Hot Springs",2,Yes,180,5
Riga Variant 453,Relaxed,25–40,3–5,"Skiing, Snowboarding, Hot Springs",1,Yes,212,3
Riga Variant 453,Relaxed,25–40,3–5,"Skiing, Snowboarding, Hot Springs",1,Yes,198,3
Riga Variant 453,Calm,25–40,10–15,"Skiing, Snowboarding, Hot Springs",2,Yes,194,3
Riga Variant 453,Energetic,25–40,3–5,"Skiing, Snowboarding, Hot Springs",5,Yes,179,5
Riga Variant 453,Romantic,25–40,10–15,"Skiing, Snowboarding, Hot Springs",2,Yes,195,5
Cape Town Variant 177,Quiet,10–25,3–7,"Museums, Cafes, Historic Sites",3,Yes,380,2
Cape Town Variant 177,Energetic,10–25,7–14,"Museums, Cafes, Historic Sites",1,Yes,312,5
Cape Town Variant 177,Romantic,10–25,4–7,"Museums, Cafes, Historic Sites",4,Yes,343,3
Cape Town Variant 177,Romantic,10–25,5–8,"Museums, Cafes, Historic Sites",1,Yes,396,4
Cape Town Variant 177,Vibrant,10–25,3–5,"Museums, Cafes, Historic Sites",1,Yes,429,3
Cape Town Variant 177,Vibrant,10–25,5–10,"Museums, Cafes, Historic Sites",1,Yes,393,4
Tallinn Variant 768,Lively,20–35,2–4,"Museums, Cafes, Historic Sites",4,No,100,4
Tallinn Variant 768,Energetic,20–35,5–10,"Museums, Cafes, Historic Sites",5,No,101,3
Tallinn Variant 768,Romantic,20–35,3–5,"Museums, Cafes, Historic Sites",3,No,117,3
Tallinn Variant 768,Adventurous,20–35,3–5,"Museums, Cafes, Historic Sites",4,No,105,5
Tallinn Variant 768,Relaxed,20–35,7–14,"Museums, Cafes, Historic Sites",2,No,102,4
Tallinn Variant 768,Relaxed,20–35,7–14,"Museums, Cafes, Historic Sites",4,No,103,3
Dubrovnik Variant 782,Mysterious,20–35,10–20,"Adventure Sports, Trekking, Kayaking",3,Yes,80,3
Dubrovnik Variant 782,Calm,20–35,3–5,"Adventure Sports, Trekking, Kayaking",3,Yes,86,3
Dubrovnik Variant 782,Romantic,20–35,4–7,"Adventure Sports, Trekking, Kayaking",1,Yes,88,3
Dubrovnik Variant 782,Vibrant,20–35,5–8,"Adventure Sports, Trekking, Kayaking",2,Yes,85,3
Dubrovnik Variant 782,Vibrant,20–35,10–15,"Adventure Sports, Trekking, Kayaking",2,Yes,75,3
Dubrovnik Variant 782,Energetic,20–35,4–7,"Adventure Sports, Trekking, Kayaking",5,Yes,86,3
Zanzibar Variant 56,Spiritual,0–15,3–7,"Hiking, Nature, Wildlife",3,Yes,60,4
Zanzibar Variant 56,Vibrant,0–15,10–15,"Hiking, Nature, Wildlife",4,Yes,65,4
Zanzibar Variant 56,Energetic,0–15,3–5,"Hiking, Nature, Wildlife",2,Yes,52,4
Zanzibar Variant 56,Relaxed,0–15,10–15,"Hiking, Nature, Wildlife",5,Yes,61,4
Zanzibar Variant 56,Romantic,0–15,5–8,"Hiking, Nature, Wildlife",1,Yes,60,4
Zanzibar Variant 56,Adventurous,0–15,7–14,"Hiking, Nature, Wildlife",1,Yes,50,4
Lima Variant 852,Quiet,10–25,2–4,"Adventure Sports, Trekking, Kayaking",4,No,320,2
Lima Variant 852,Energetic,10–25,3–5,"Adventure Sports, Trekking, Kayaking",3,No,261,4
Lima Variant 852,Adventurous,10–25,5–8,"Adventure Sports, Trekking, Kayaking",4,No,355,5
Lima Variant 852,Calm,10–25,10–15,"Adventure Sports, Trekking, Kayaking",2,No,275,4
Lima Variant 852,Romantic,10–25,7–14,"Adventure Sports, Trekking, Kayaking",3,No,367,3
Lima Variant 852,Energetic,10–25,4–7,"Adventure Sports, Trekking, Kayaking",1,No,323,5
Reykjavik Variant 436,Elegant,25–40,5–10,"Spiritual Retreats, Yoga, Wellness",3,Yes,390,3
Reykjavik Variant 436,Romantic,25–40,4–7,"Spiritual Retreats, Yoga, Wellness",5,Yes,378,3
Reykjavik Variant 436,Exotic,25–40,3–5,"Spiritual Retreats, Yoga, Wellness",4,Yes,363,3
Reykjavik Variant 436,Romantic,25–40,4–7,"Spiritual Retreats, Yoga, Wellness",1,Yes,378,3
Reykjavik Variant 436,Exotic,25–40,4–7,"Spiritual Retreats, Yoga, Wellness",5,Yes,316,3
Reykjavik Variant 436,Energetic,25–40,4–7,"Spiritual Retreats, Yoga, Wellness",2,Yes,447,4
Banff Variant 400,Balanced,25–40,7–14,"Hiking, Nature, Wildlife",1,No,180,3
Banff Variant 400,Relaxed,25–40,4–7,"Hiking, Nature, Wildlife",3,No,207,3
Banff Variant 400,Relaxed,25–40,7–14,"Hiking, Nature, Wildlife",3,No,153,4
Banff Variant 400,Romantic,25–40,7–14,"Hiking, Nature, Wildlife",2,No,205,3
Banff Variant 400,Adventurous,25–40,7–14,"Hiking, Nature, Wildlife",1,No,159,5
Banff Variant 400,Adventurous,25–40,3–5,"Hiking, Nature, Wildlife",3,No,169,3
Banff Variant 708,Wild,25–40,7–14,"Beach, Snorkeling, Relaxation",1,Yes,220,5
Banff Variant 708,Romantic,25–40,3–5,"Beach, Snorkeling, Relaxation",1,Yes,260,4
Banff Variant 708,Exotic,25–40,5–8,"Beach, Snorkeling, Relaxation",2,Yes,189,5
Banff Variant 708,Romantic,25–40,10–15,"Beach, Snorkeling, Relaxation",4,Yes,183,5
Banff Variant 708,Relaxed,25–40,4–7,"Beach, Snorkeling, Relaxation",2,Yes,227,4
Banff Variant 708,Exotic,25–40,5–10,"Beach, Snorkeling, Relaxation",2,Yes,200,3
Tbilisi Variant 274,Elegant,0–15,3–7,"Skiing, Snowboarding, Hot Springs",5,No,390,4
Tbilisi Variant 274,Vibrant,0–15,7–14,"Skiing, Snowboarding, Hot Springs",5,No,340,4
Tbilisi Variant 274,Exotic,0–15,5–10,"Skiing, Snowboarding, Hot Springs",2,No,407,5
Tbilisi Variant 274,Energetic,0–15,5–10,"Skiing, Snowboarding, Hot Springs",2,No,347,5
Tbilisi Variant 274,Exotic,0–15,3–5,"Skiing, Snowboarding, Hot Springs",5,No,448,3
Tbilisi Variant 274,Vibrant,0–15,7–14,"Skiing, Snowboarding, Hot Springs",4,No,388,4
Siem Reap Variant 136,Calm,-10–5,3–7,"Beach, Snorkeling, Relaxation",5,No,140,2
Siem Reap Variant 136,Romantic,-10–5,3–5,"Beach, Snorkeling, Relaxation",2,No,136,3
Siem Reap Variant 136,Energetic,-10–5,7–14,"Beach, Snorkeling, Relaxation",4,No,158,3
Siem Reap Variant 136,Exotic,-10–5,5–10,"Beach, Snorkeling, Relaxation",1,No,134,4
Siem Reap Variant 136,Energetic,-10–5,5–8,"Beach, Snorkeling, Relaxation",2,No,149,4
Siem Reap Variant 136,Adventurous,-10–5,10–15,"Beach, Snorkeling, Relaxation",2,No,137,5
Hanoi Variant 701,Modern,10–25,7–14,"Beach, Snorkeling, Relaxation",1,No,140,5
Hanoi Variant 701,Adventurous,10–25,4–7,"Beach, Snorkeling, Relaxation",3,No,155,5
Hanoi Variant 701,Relaxed,10–25,4–7,"Beach, Snorkeling, Relaxation",2,No,163,4
Hanoi Variant 701,Vibrant,10–25,5–10,"Beach, Snorkeling, Relaxation",1,No,125,5
Hanoi Variant 701,Exotic,10–25,3–5,"Beach, Snorkeling, Relaxation",4,No,162,3
Hanoi Variant 701,Adventurous,10–25,3–5,"Beach, Snorkeling, Relaxation",1,No,167,3
Istanbul Variant 75,Quaint,25–40,2–4,"Skiing, Snowboarding, Hot Springs",3,Yes,30,4
Istanbul Variant 75,Vibrant,25–40,3–5,"Skiing, Snowboarding, Hot Springs",4,Yes,36,3
Istanbul Variant 75,Vibrant,25–40,7–14,"Skiing, Snowboarding, Hot Springs",3,Yes,31,5
Istanbul Variant 75,Relaxed,25–40,5–10,"Skiing, Snowboarding, Hot Springs",2,Yes,29,3
Istanbul Variant 75,Vibrant,25–40,10–15,"Skiing, Snowboarding, Hot Springs",1,Yes,31,3
Istanbul Variant 75,Romantic,25–40,5–10,"Skiing, Snowboarding, Hot Springs",3,Yes,32,4
Marrakech Variant 526,Luxury,10–25,5–10,"Hiking, Nature, Wildlife",5,Yes,100,4
